Job_title,Salary,Salary_Frequency,Location,Source,Scrape_Date
Registered Nurse (RN) - Medical Surgical Oncology - New Grads All 2023/May-Aug 2024,30.50,Hourly,"Sioux Falls, SD",Monster.com,2023-12-01
New Grad RN All Units Winter-Summer Residency,,,"Salem, VA",Monster.com,2023-12-01
New Grad RN All Units Winter-Summer Residency,,,"Blacksburg, VA",Monster.com,2023-12-01
Registered Nurse - All Shifts,,,"Dallas, TX",Monster.com,2023-12-01
New Grad RN All Units Winter-Summer Residency,,,"Low Moor, VA",Monster.com,2023-12-01
Cashiers All Shifts,,,"Fort Wayne, IN",Monster.com,2023-12-01
New Grad RN All Units Winter-Summer Residency,,,"Pulaski, VA",Monster.com,2023-12-01
Registered Nurse (RN) - All 2023/May 2024 New Grads,30.50,Hourly,"Worthing, SD",Monster.com,2023-12-01
"Registered Nurse Emergency Dept, All Piedmont Locations",,,"Atlanta, GA",Monster.com,2023-12-01
Material Handler (All Shifts Available - Several Locations),,,"Erie, PA",Monster.com,2023-12-01
Ground EMT (All Levels) *$3500 Retention Bonus*,,,"Fairbanks, AK",Monster.com,2023-12-01
"Medical Assistant I: All locations - $2,000 Sign on bonus offered",,,"Youngstown, OH",Monster.com,2023-12-01
Machine Operator | ALL Experience Levels,,,"Merton, WI",Monster.com,2023-12-01
Mechanical Assembler - ALL SHIFTS,,,"Milwaukee, WI",Monster.com,2023-12-01
Assembler ALL SHIFTS OPEN,,,"Newtonsville, OH",Monster.com,2023-12-01
HVDC Control Engineer,,,"Raleigh, NC",Monster.com,2023-12-01
Universal Associate- Multiple Locations,,,"Duluth, GA",Monster.com,2023-12-01
2nd Shift Part-Time Warehouse Associate,25.75,Hourly,"Faribault, MN",Monster.com,2023-12-01
Tax Administrator,,,"Reston, VA",Monster.com,2023-12-01
Case Manager (Bedford),"53,000",Annual,"Bronx, NY",Monster.com,2023-12-01
Unit Director /Supervisor,"65,170",Annual,"Bronx, NY",Monster.com,2023-12-01
Major Accounts Acquisition,,,"Weston, MA",Monster.com,2023-12-01
Electrical Engineer - Transit Communications Engineer,,,"RADNOR, PA",Monster.com,2023-12-01
Senior Software Engineer,"115,000",Annual,"Stennis Space Center, MS",Monster.com,2023-12-01
Robotics Engineer (Offline Programmer),,,"Indiana, IN",Monster.com,2023-12-01
Engineering Manager (EM-KR),,,"Alpharetta, GA",Monster.com,2023-12-01
Background Screening Customer Service Representative,20,Hourly,"PERRYSBURG, OH",Monster.com,2023-12-01
Clinical Anesthesiologists,,,"Birmingham, AL",Monster.com,2023-12-01
Tax Accountant-part-time,35,Hourly,"GAHANNA, OH",Monster.com,2023-12-01
Laser Tracker Operator,45,Hourly,"Louisville, KY",Monster.com,2023-12-01
AUTO RESTORATION WORK - BODY WORK/PAINT,30,Hourly,"SCOTTSDALE, AZ",Monster.com,2023-12-01
"Manager, cooks/baker & hands",,,"Houston, TX",Monster.com,2023-12-01
Long Haul Armored Van Driver,20,Hourly,"Shrewsbury, MA",Monster.com,2023-12-01
Maintenance Technician,30,Hourly,"Linden, NJ",Monster.com,2023-12-01
PARKING ATTENDANT,,,"Philadelphia, PA",Monster.com,2023-12-01
Machinist,27,Hourly,"Ft. Lauderdale, FL",Monster.com,2023-12-01
Marine Electrician,,,"Portland, OR",Monster.com,2023-12-01
"Claims Rep - Miami, Dade County, FL","50,000",Annual,"Miami, FL",Monster.com,2023-12-01
POLICE OFFICER,,,"Clairton, PA",Monster.com,2023-12-01
Director of Operations,"125,000",Annual,"New Lisbon, WI",Monster.com,2023-12-01
Ministry Support Specialist,,,"Saint Louis, MO",Monster.com,2023-12-01
Human Resources Assistant,"40,000",Annual,"Doral, FL",Monster.com,2023-12-01
Pharmacy Technician,,,"Jeffersonville, IN",Monster.com,2023-12-01
Inpatient Facility Medical Coder,,,"Tampa, FL",Monster.com,2023-12-01
Remote Senior Software Engineer (Java),"130,000",Annual,"Fairfax, VA",Monster.com,2023-12-01
Clinical Systems Analyst,"75,000",Annual,"Juno Beach, FL",Monster.com,2023-12-01
"School Psychologist, Special Education Teacher",,,"Queensbury, NY",Monster.com,2023-12-01
Caregiver/QMAP,18,Hourly,"Denver, CO",Monster.com,2023-12-01
Phlebotomist,26.93,Hourly,"Santa Barbara, CA",Monster.com,2023-12-01
Dental Assistant,15,Hourly,"Toledo, OH",Monster.com,2023-12-01
Review Coordinator,,,"Las Vegas, NV",Monster.com,2023-12-01
Bilingual Service Representative (Part-Time),,,"Danbury, CT",Monster.com,2023-12-01
Assistant Manager - Sales,"1,000",Hourly,"Dallas, TX",Monster.com,2023-12-01
Deputy Commissioner of Public Works,,,"Glenville, NY",Monster.com,2023-12-01
Manufacturing Engineer,,,"De Pere, WI",Monster.com,2023-12-01
Accountant,30,Hourly,"NEW ROCHELLE, NY",Monster.com,2023-12-01
Fleet Mechanic,25,Hourly,"Erie, PA",Monster.com,2023-12-01
Warehouse Associate,,,"Mt. Olive, NJ",Monster.com,2023-12-01
"Clinical Research Coordinator I (Clinical, Behavioral & Outcomes Research)",,,"Boston, MA",Monster.com,2023-12-01
Coding Educator - RHIT/RHIA,"61,000",Annual,,Monster.com,2023-12-01
"Machine Learning Operations Engineer / Data Scientist - Entry to Expert Level (Maryland, Hawaii &...",,,"Fort Meade, MD",Monster.com,2023-12-01
Senior Tax Accountant,"82,543",Annual,"San Dimas, CA",Monster.com,2023-12-01
Teller,,,"New York, NY",Monster.com,2023-12-01
Project Engineer -,,,,Monster.com,2023-12-01
Construction Superintendant,,,,Monster.com,2023-12-01
Landscape Architect,,,"Glastonbury, CT",Monster.com,2023-12-01
HSE Technician,,,"belvidere, IL",Monster.com,2023-12-01
PROGRAM MANAGER III-GM3,,,"Dalhgren, VA",Monster.com,2023-12-01
Mechanic - 2350,"70,000",Annual,"Lincoln, NE",Monster.com,2023-12-01
Outside Sales / Landscape Architect,"45,000",Annual,"HOUSTON, TX",Monster.com,2023-12-01
Licensed Practical Nurse (LPN),,,"Tifton, GA",Monster.com,2023-12-01
Service Technicians,,,"Tampa, FL",Monster.com,2023-12-01
Mental Health Therapist,"76,167",Annual,"Burien, WA",Monster.com,2023-12-01
Sales Representative / Project Manager,"55,000",Annual,"Kilgore, TX",Monster.com,2023-12-01
Area Manufacturer's Representative - Panhandle,"74,200",Annual,"Amarillo, TX",Monster.com,2023-12-01
Youth & Family Therapist,"76,167",Annual,"Portland, OR",Monster.com,2023-12-01
Flooring Installation Inspector,,,"Nashville - Lebanon, TN",Monster.com,2023-12-01
Cardiac Sonographer Instructor,30,Hourly,"Bakersfield, CA",Monster.com,2023-12-01
Land Development Project Manager,,,"Franklin, TN",Monster.com,2023-12-01
Operations Manager - 2787,,,"Lester, PA",Monster.com,2023-12-01
"Associate Director of Development, Physical Sciences",,,"Los Angeles, CA",Monster.com,2023-12-01
Project Engineer,"77,022",Annual,"TEMPE, AZ",Monster.com,2023-12-01
Mobile Phlebotomist,,,"New York City, NY",Monster.com,2023-12-01
Sales Counselor,,,"San Antonio, TX",Monster.com,2023-12-01
Swiss Operator,,,"Naples, FL",Monster.com,2023-12-01
Production Manager,,,"Pensacola, FL",Monster.com,2023-12-01
Regulatory Affairs Specialist,"65,000",Annual,"Little Elm, TX",Monster.com,2023-12-01
Foreman/Supervisor,"60,000",Annual,"SUITLAND, MD",Monster.com,2023-12-01
Machinist/Grinder Hand,25,Hourly,"Troy, MI",Monster.com,2023-12-01
Shift Manager (Shift Supervisor),13,Hourly,"Bentleyville, PA",Monster.com,2023-12-01
Mechanical Design Engineer II/III,,,"Williston, VT",Monster.com,2023-12-01
Litigation Attorney,"80,000",Annual,"BELLAIRE, TX",Monster.com,2023-12-01
Golf Shop / Golf Cart / Snack Bar Attendant,12,Hourly,"CINCINNATI, OH",Monster.com,2023-12-01
Clinical / Lab Instructor,,,"Latham, NY",Monster.com,2023-12-01
Restaurant Manager,,,"Hampton, VA",Monster.com,2023-12-01
Registered Nurse (RN),,,"Medford, MA",Monster.com,2023-12-01
CAD Drafter/Estimator,,,"OZONE PARK, NY",Monster.com,2023-12-01
Benefits Representative Remote Work,"50,000",Annual,"Irving, TX",Monster.com,2023-12-01
Technical Services Specialist,,,,Monster.com,2023-12-01
Fire Alarm Project Manager,"75,000",Annual,"Austin, TX",Monster.com,2023-12-01
Server Administrator IV,,,"Lubbock, TX",Monster.com,2023-12-01
Pharmacist (remote),,,"Nashville, TN",Monster.com,2023-12-01
Director of Development for Analysis & Strategy,,,"Pittsburg, KS",Monster.com,2023-12-01
Asstistant Estimating/Project Mgmt-Construction,,,"Austin, TX",Monster.com,2023-12-01
Director of Distribution Operations,,,"Grove City, OH",Monster.com,2023-12-01
Composites Machine Operator,,,"Mount Clemens, MI",Monster.com,2023-12-01
Assistant Manager (Levittown NY),21,Hourly,"Levittown, NY",Monster.com,2023-12-01
QC Inspector,,,"Newton, NJ",Monster.com,2023-12-01
Team Member,12,Hourly,"Edmond, OK",Monster.com,2023-12-01
Physical Therapist - PRN,,,"Saint Louis, MO",Monster.com,2023-12-01
Server (Part time),,,"Las Vegas, NV",Monster.com,2023-12-01
Maintenance Technician (Full Time),,,"Las Vegas, NV",Monster.com,2023-12-01
Social Health Engagement Specialist,,,"Albany, NY",Monster.com,2023-12-01
Bilingual Registered Nurse,,,"Burlington & Camden, NJ",Monster.com,2023-12-01
General Manager (New Market Leader) - Virginia,"50,000",Annual,"Charlottesville, VI",Monster.com,2023-12-01
