Job_Title,Salary,Location,Salary_Frequency,Source,Scrape_Date
Fish Biologist,101640,US,Annual,FederalPay.com,2023-12-01_20-43-46
Wildlife Biologist,87388,US,Annual,FederalPay.com,2023-12-01_20-43-46
Veterinary Medical Scientist,114923,US,Annual,FederalPay.com,2023-12-01_20-43-46
Legal Instruments Examiner,62178,US,Annual,FederalPay.com,2023-12-01_20-43-46
,88277,US,Annual,FederalPay.com,2023-12-01_20-43-46
Hydrologist,102827,US,Annual,FederalPay.com,2023-12-01_20-43-46
Microbiologist,123696,US,Annual,FederalPay.com,2023-12-01_20-43-46
Environmental Engineer,123896,US,Annual,FederalPay.com,2023-12-01_20-43-46
Medical Technician,45418,US,Annual,FederalPay.com,2023-12-01_20-43-46
Education and Vocational Training Employee,89479,US,Annual,FederalPay.com,2023-12-01_20-43-46
Equal Employment Opportunity Personnel,119921,US,Annual,FederalPay.com,2023-12-01_20-43-46
Occupational Therapist,98711,US,Annual,FederalPay.com,2023-12-01_20-43-46
Agricultural Commodity Grader,60676,US,Annual,FederalPay.com,2023-12-01_20-43-46
Forestry Personnel,79742,US,Annual,FederalPay.com,2023-12-01_20-43-46
Correctional Institution Administrator,111537,US,Annual,FederalPay.com,2023-12-01_20-43-46
Support Services Administrator,89404,US,Annual,FederalPay.com,2023-12-01_20-43-46
Food Inspector,49436,US,Annual,FederalPay.com,2023-12-01_20-43-46
Logistics Manager,103147,US,Annual,FederalPay.com,2023-12-01_20-43-46
Hydrologic Technician,61921,US,Annual,FederalPay.com,2023-12-01_20-43-46
Administrative Law Judge,2750,US,Annual,FederalPay.com,2023-12-01_20-43-46
Electrical Engineer,125475,US,Annual,FederalPay.com,2023-12-01_20-43-46
Passport and Visa Examiner,84883,US,Annual,FederalPay.com,2023-12-01_20-43-46
Education and Training Technician,59526,US,Annual,FederalPay.com,2023-12-01_20-43-46
Mathematical Statistician,134639,US,Annual,FederalPay.com,2023-12-01_20-43-46
Computer Scientist,141846,US,Annual,FederalPay.com,2023-12-01_20-43-46
Social Science Aid and Technician,58339,US,Annual,FederalPay.com,2023-12-01_20-43-46
Facility Operations Services Personnel,100890,US,Annual,FederalPay.com,2023-12-01_20-43-46
Utility Systems Repairman/Operator,71378,US,Annual,FederalPay.com,2023-12-01_20-43-46
,180309,US,Annual,FederalPay.com,2023-12-01_20-43-46
Supply Program Manager,79867,US,Annual,FederalPay.com,2023-12-01_20-43-46
Electrician,69065,US,Annual,FederalPay.com,2023-12-01_20-43-46
Optometrist,121866,US,Annual,FederalPay.com,2023-12-01_20-43-46
Engineer Equipment Operator,63568,US,Annual,FederalPay.com,2023-12-01_20-43-46
Archives Technician,59998,US,Annual,FederalPay.com,2023-12-01_20-43-46
Financial Analyst,145341,US,Annual,FederalPay.com,2023-12-01_20-43-46
Security Guard,48831,US,Annual,FederalPay.com,2023-12-01_20-43-46
Claims Assistance and Examining Personnel,55977,US,Annual,FederalPay.com,2023-12-01_20-43-46
,39508,US,Annual,FederalPay.com,2023-12-01_20-43-46
Agricultural Commodity Aid,34118,US,Annual,FederalPay.com,2023-12-01_20-43-46
Mechanical Engineer,121167,US,Annual,FederalPay.com,2023-12-01_20-43-46
Ecologist,106921,US,Annual,FederalPay.com,2023-12-01_20-43-46
Building Manager,103095,US,Annual,FederalPay.com,2023-12-01_20-43-46
Investigative Analyst,0,US,Annual,FederalPay.com,2023-12-01_20-43-46
Chaplain,88089,US,Annual,FederalPay.com,2023-12-01_20-43-46
Air Conditioning Equipment Mechanic,68126,US,Annual,FederalPay.com,2023-12-01_20-43-46
,100241,US,Annual,FederalPay.com,2023-12-01_20-43-46
General Education and Training Employee,117006,US,Annual,FederalPay.com,2023-12-01_20-43-46
Wage and Hour Investigator,101652,US,Annual,FederalPay.com,2023-12-01_20-43-46
Laborer,41414,US,Annual,FederalPay.com,2023-12-01_20-43-46
Archeologist,81087,US,Annual,FederalPay.com,2023-12-01_20-43-46
Equal Opportunity Compliance Personnel,112964,US,Annual,FederalPay.com,2023-12-01_20-43-46
Geologist,109165,US,Annual,FederalPay.com,2023-12-01_20-43-46
Operations Researcher,137921,US,Annual,FederalPay.com,2023-12-01_20-43-46
Computer Engineer,138762,US,Annual,FederalPay.com,2023-12-01_20-43-46
Transportation Clerk and Assistant,48792,US,Annual,FederalPay.com,2023-12-01_20-43-46
Recreation/Vreative Arts Therapist,81884,US,Annual,FederalPay.com,2023-12-01_20-43-46
Import Compliance Personnel,121363,US,Annual,FederalPay.com,2023-12-01_20-43-46
Tax Specialist,74142,US,Annual,FederalPay.com,2023-12-01_20-43-46
Soil Conservation Technician,49724,US,Annual,FederalPay.com,2023-12-01_20-43-46
Mine Safety and Health Inspector,100087,US,Annual,FederalPay.com,2023-12-01_20-43-46
Construction Analyst,79209,US,Annual,FederalPay.com,2023-12-01_20-43-46
Visual Information Employee,96501,US,Annual,FederalPay.com,2023-12-01_20-43-46
Language Specialist,100204,US,Annual,FederalPay.com,2023-12-01_20-43-46
Plant Protection Technician,40043,US,Annual,FederalPay.com,2023-12-01_20-43-46
Rangeland Manager,73998,US,Annual,FederalPay.com,2023-12-01_20-43-46
Civilian,48472,US,Annual,FederalPay.com,2023-12-01_20-43-46
Rehabilitation Therapy Assistant,59784,US,Annual,FederalPay.com,2023-12-01_20-43-46
High Voltage Electrician,109481,US,Annual,FederalPay.com,2023-12-01_20-43-46
,102483,US,Annual,FederalPay.com,2023-12-01_20-43-46
Writer and Editor,117228,US,Annual,FederalPay.com,2023-12-01_20-43-46
Industrial Hygienist,105723,US,Annual,FederalPay.com,2023-12-01_20-43-46
Bioengineer & Biomedical Engineer,117896,US,Annual,FederalPay.com,2023-12-01_20-43-46
Soil Scientist,93398,US,Annual,FederalPay.com,2023-12-01_20-43-46
Credit Union Examiner,969,US,Annual,FederalPay.com,2023-12-01_20-43-46
Podiatrist,164949,US,Annual,FederalPay.com,2023-12-01_20-43-46
Voucher Examiner,52564,US,Annual,FederalPay.com,2023-12-01_20-43-46
Architect,122873,US,Annual,FederalPay.com,2023-12-01_20-43-46
Physicist,152382,US,Annual,FederalPay.com,2023-12-01_20-43-46
Social Services Aid and Assistant,49687,US,Annual,FederalPay.com,2023-12-01_20-43-46
Transportation Operator,92398,US,Annual,FederalPay.com,2023-12-01_20-43-46
General Investigator,0,US,Annual,FederalPay.com,2023-12-01_20-43-46
,46598,US,Annual,FederalPay.com,2023-12-01_20-43-46
Vocational Rehabilitator,77467,US,Annual,FederalPay.com,2023-12-01_20-43-46
Guide,40886,US,Annual,FederalPay.com,2023-12-01_20-43-46
Pipefitter,67743,US,Annual,FederalPay.com,2023-12-01_20-43-46
Trade Specialist,126341,US,Annual,FederalPay.com,2023-12-01_20-43-46
Equal Opportunity Investigator,94239,US,Annual,FederalPay.com,2023-12-01_20-43-46
Automotive Mechanic,68580,US,Annual,FederalPay.com,2023-12-01_20-43-46
Pharmacologist,152049,US,Annual,FederalPay.com,2023-12-01_20-43-46
Medical and Health Student Trainee,40756,US,Annual,FederalPay.com,2023-12-01_20-43-46
Technical Systems Program Manager,171410,US,Annual,FederalPay.com,2023-12-01_20-43-46
Painter,63828,US,Annual,FederalPay.com,2023-12-01_20-43-46
Financial Manager,151401,US,Annual,FederalPay.com,2023-12-01_20-43-46
Prosthetic Representative,83449,US,Annual,FederalPay.com,2023-12-01_20-43-46
Recreation Specialist,71212,US,Annual,FederalPay.com,2023-12-01_20-43-46
Carpenter,63334,US,Annual,FederalPay.com,2023-12-01_20-43-46
Health System Administrator,142952,US,Annual,FederalPay.com,2023-12-01_20-43-46
Cemetery Caretaker,51751,US,Annual,FederalPay.com,2023-12-01_20-43-46
Statistical Assistant,44396,US,Annual,FederalPay.com,2023-12-01_20-43-46
Geographer,103725,US,Annual,FederalPay.com,2023-12-01_20-43-46
Dental Hygienist,72104,US,Annual,FederalPay.com,2023-12-01_20-43-46
Laundry Worker,38856,US,Annual,FederalPay.com,2023-12-01_20-43-46
Physical Science Technician,68861,US,Annual,FederalPay.com,2023-12-01_20-43-46
Appraiser,107509,US,Annual,FederalPay.com,2023-12-01_20-43-46
Computer Clerk and Assistant,63733,US,Annual,FederalPay.com,2023-12-01_20-43-46
Quality Assurance Worker,106490,US,Annual,FederalPay.com,2023-12-01_20-43-46
Equipment Servicer,93819,US,Annual,FederalPay.com,2023-12-01_20-43-46
,79986,US,Annual,FederalPay.com,2023-12-01_20-43-46
Librarian,112581,US,Annual,FederalPay.com,2023-12-01_20-43-46
Museum Specialist and Technician,82030,US,Annual,FederalPay.com,2023-12-01_20-43-46
,0,US,Annual,FederalPay.com,2023-12-01_20-43-46
Wildlife Refuge Manager,98428,US,Annual,FederalPay.com,2023-12-01_20-43-46
Technical Information Services Employee,111985,US,Annual,FederalPay.com,2023-12-01_20-43-46
Psychology Aid and Technician,55940,US,Annual,FederalPay.com,2023-12-01_20-43-46
Instructional Systems Employee,117192,US,Annual,FederalPay.com,2023-12-01_20-43-46
Construction Control Technician,89320,US,Annual,FederalPay.com,2023-12-01_20-43-46
Education Programmer,121736,US,Annual,FederalPay.com,2023-12-01_20-43-46
Audiovisual Producer,112438,US,Annual,FederalPay.com,2023-12-01_20-43-46
Nuclear Engineer,0,US,Annual,FederalPay.com,2023-12-01_20-43-46
Fire Protection and Prevention Personnel,64399,US,Annual,FederalPay.com,2023-12-01_20-43-46
Agricultural Marketer,108391,US,Annual,FederalPay.com,2023-12-01_20-43-46
Materials Engineer,133869,US,Annual,FederalPay.com,2023-12-01_20-43-46
Procurement Clerk and Technician,54299,US,Annual,FederalPay.com,2023-12-01_20-43-46
Navigational Information Personnel,129402,US,Annual,FederalPay.com,2023-12-01_20-43-46
Entomology,117080,US,Annual,FederalPay.com,2023-12-01_20-43-46
Railroad Safety Worker,106360,US,Annual,FederalPay.com,2023-12-01_20-43-46
Motor Carrier Safety Worker,85418,US,Annual,FederalPay.com,2023-12-01_20-43-46
Medical Records Administration,90815,US,Annual,FederalPay.com,2023-12-01_20-43-46
Geneticist,121337,US,Annual,FederalPay.com,2023-12-01_20-43-46
Boiler Plant Operator,65704,US,Annual,FederalPay.com,2023-12-01_20-43-46
Cartographer,102192,US,Annual,FederalPay.com,2023-12-01_20-43-46
Customs Entry and Liquidating Employee,92829,US,Annual,FederalPay.com,2023-12-01_20-43-46
Animal Health Technician,58086,US,Annual,FederalPay.com,2023-12-01_20-43-46
Toxicologist,133989,US,Annual,FederalPay.com,2023-12-01_20-43-46
Technical Writing and Editing Employee,110191,US,Annual,FederalPay.com,2023-12-01_20-43-46
Public Utilities Specialist,115794,US,Annual,FederalPay.com,2023-12-01_20-43-46
,47603,US,Annual,FederalPay.com,2023-12-01_20-43-46
Archivist,107126,US,Annual,FederalPay.com,2023-12-01_20-43-46
United States Marshal,0,US,Annual,FederalPay.com,2023-12-01_20-43-46
Outdoor Recreation Planner,84645,US,Annual,FederalPay.com,2023-12-01_20-43-46
Patent Administrator,180722,US,Annual,FederalPay.com,2023-12-01_20-43-46
Tax Law Specialist,125724,US,Annual,FederalPay.com,2023-12-01_20-43-46
Information Receptionist,37624,US,Annual,FederalPay.com,2023-12-01_20-43-46
Fish and Wildlife Administrator,148757,US,Annual,FederalPay.com,2023-12-01_20-43-46
Astronomy and Space Scientist,156097,US,Annual,FederalPay.com,2023-12-01_20-43-46
Health Physicist,130653,US,Annual,FederalPay.com,2023-12-01_20-43-46
Community Planner,116212,US,Annual,FederalPay.com,2023-12-01_20-43-46
,57491,US,Annual,FederalPay.com,2023-12-01_20-43-46
Telephone Operator,39632,US,Annual,FederalPay.com,2023-12-01_20-43-46
Patent Attorney,179709,US,Annual,FederalPay.com,2023-12-01_20-43-46
Orthotist and Prosthetist,88625,US,Annual,FederalPay.com,2023-12-01_20-43-46
General Supply Employee,87872,US,Annual,FederalPay.com,2023-12-01_20-43-46
Gardener,56287,US,Annual,FederalPay.com,2023-12-01_20-43-46
Industrial Equipment Mechanic,90877,US,Annual,FederalPay.com,2023-12-01_20-43-46
Agricultural Engineer,91690,US,Annual,FederalPay.com,2023-12-01_20-43-46
Electronic Industrial Controls Mechanic,93691,US,Annual,FederalPay.com,2023-12-01_20-43-46
Securities Compliance Examiner,204931,US,Annual,FederalPay.com,2023-12-01_20-43-46
Dispatcher,50658,US,Annual,FederalPay.com,2023-12-01_20-43-46
Plumber,71398,US,Annual,FederalPay.com,2023-12-01_20-43-46
Petroleum Engineer,122629,US,Annual,FederalPay.com,2023-12-01_20-43-46
Budget Clerk,52596,US,Annual,FederalPay.com,2023-12-01_20-43-46
Economics Assistant,50463,US,Annual,FederalPay.com,2023-12-01_20-43-46
Agricultural Program Specialist,100992,US,Annual,FederalPay.com,2023-12-01_20-43-46
Electrical Power Controller,125393,US,Annual,FederalPay.com,2023-12-01_20-43-46
Museum Curator,110344,US,Annual,FederalPay.com,2023-12-01_20-43-46
Railroad Retirement Claims Examiner,80105,US,Annual,FederalPay.com,2023-12-01_20-43-46
Geophysicist,129232,US,Annual,FederalPay.com,2023-12-01_20-43-46
Cash Processer,47707,US,Annual,FederalPay.com,2023-12-01_20-43-46
,49152,US,Annual,FederalPay.com,2023-12-01_20-43-46
Interior Designer,93655,US,Annual,FederalPay.com,2023-12-01_20-43-46
Data Transcriber,36899,US,Annual,FederalPay.com,2023-12-01_20-43-46
Tractor Operator,51187,US,Annual,FederalPay.com,2023-12-01_20-43-46
Printing Services,114342,US,Annual,FederalPay.com,2023-12-01_20-43-46
Therapeutic Radiologic Technologist,101295,US,Annual,FederalPay.com,2023-12-01_20-43-46
Electronics Mechanic,81707,US,Annual,FederalPay.com,2023-12-01_20-43-46
Land Surveyer,91362,US,Annual,FederalPay.com,2023-12-01_20-43-46
Aircraft Operator,129480,US,Annual,FederalPay.com,2023-12-01_20-43-46
Sales Store Clerk,35892,US,Annual,FederalPay.com,2023-12-01_20-43-46
Metal Forming Machine Operator,61644,US,Annual,FederalPay.com,2023-12-01_20-43-46
Pathology Technician,60625,US,Annual,FederalPay.com,2023-12-01_20-43-46
Hospital Housekeeping Manager,93762,US,Annual,FederalPay.com,2023-12-01_20-43-46
Biological Science Student Trainee,36896,US,Annual,FederalPay.com,2023-12-01_20-43-46
Dental Laboratory Aid and Technician,64786,US,Annual,FederalPay.com,2023-12-01_20-43-46
Nuclear Materials Courier,0,US,Annual,FederalPay.com,2023-12-01_20-43-46
Historian,114624,US,Annual,FederalPay.com,2023-12-01_20-43-46
Kinesiotherapist,84949,US,Annual,FederalPay.com,2023-12-01_20-43-46
Actuarial Scientist,145171,US,Annual,FederalPay.com,2023-12-01_20-43-46
Botanist,88082,US,Annual,FederalPay.com,2023-12-01_20-43-46
Oceanographer,135050,US,Annual,FederalPay.com,2023-12-01_20-43-46
Chemical Engineer,129204,US,Annual,FederalPay.com,2023-12-01_20-43-46
International Relations Personnel,133852,US,Annual,FederalPay.com,2023-12-01_20-43-46
Range Technician,54522,US,Annual,FederalPay.com,2023-12-01_20-43-46
Sports Specialist,72890,US,Annual,FederalPay.com,2023-12-01_20-43-46
General Telecommunications Employee,58875,US,Annual,FederalPay.com,2023-12-01_20-43-46
Design Patent Examier,118429,US,Annual,FederalPay.com,2023-12-01_20-43-46
Highway Safety Personnel,120455,US,Annual,FederalPay.com,2023-12-01_20-43-46
Plant Pathologist,119794,US,Annual,FederalPay.com,2023-12-01_20-43-46
Landscape Architect,103630,US,Annual,FederalPay.com,2023-12-01_20-43-46
Recreation Aid and Assistant,47609,US,Annual,FederalPay.com,2023-12-01_20-43-46
Animal Caretaker,49503,US,Annual,FederalPay.com,2023-12-01_20-43-46
Utility Systems Operator,64518,US,Annual,FederalPay.com,2023-12-01_20-43-46
Labor-Management Relations Examiner,131841,US,Annual,FederalPay.com,2023-12-01_20-43-46
Physiologist,118675,US,Annual,FederalPay.com,2023-12-01_20-43-46
Bulk Money Handler,60837,US,Annual,FederalPay.com,2023-12-01_20-43-46
Agronomist,98210,US,Annual,FederalPay.com,2023-12-01_20-43-46
Miscellaneous Plant and Animal Work,58817,US,Annual,FederalPay.com,2023-12-01_20-43-46
Workforce Development Personnel,119474,US,Annual,FederalPay.com,2023-12-01_20-43-46
Social Services Employee,55558,US,Annual,FederalPay.com,2023-12-01_20-43-46
Letterpress Operator,121373,US,Annual,FederalPay.com,2023-12-01_20-43-46
Physical Science Student Trainee,40873,US,Annual,FederalPay.com,2023-12-01_20-43-46
Bindery Worker,86877,US,Annual,FederalPay.com,2023-12-01_20-43-46
Exhibits Specialist,90334,US,Annual,FederalPay.com,2023-12-01_20-43-46
Mason,59008,US,Annual,FederalPay.com,2023-12-01_20-43-46
Meteorological Technician,86343,US,Annual,FederalPay.com,2023-12-01_20-43-46
Cartographic Technician,60937,US,Annual,FederalPay.com,2023-12-01_20-43-46
Equipment Operator,45092,US,Annual,FederalPay.com,2023-12-01_20-43-46
Funeral Director,82163,US,Annual,FederalPay.com,2023-12-01_20-43-46
Heavy Mobile Equipment Mechanic,76465,US,Annual,FederalPay.com,2023-12-01_20-43-46
Food Services Employee,94383,US,Annual,FederalPay.com,2023-12-01_20-43-46
Land Law Examiner,68349,US,Annual,FederalPay.com,2023-12-01_20-43-46
Library Technician,62468,US,Annual,FederalPay.com,2023-12-01_20-43-46
Air Traffic Assistant,72108,US,Annual,FederalPay.com,2023-12-01_20-43-46
Financial Management Student Trainee,42594,US,Annual,FederalPay.com,2023-12-01_20-43-46
Photographer,95077,US,Annual,FederalPay.com,2023-12-01_20-43-46
Laundry Machine Operator,46438,US,Annual,FederalPay.com,2023-12-01_20-43-46
Social Science Student Trainee,51554,US,Annual,FederalPay.com,2023-12-01_20-43-46
Foreign Agricultural Affairs Personnel,134032,US,Annual,FederalPay.com,2023-12-01_20-43-46
Law Clerk,84139,US,Annual,FederalPay.com,2023-12-01_20-43-46
Mathematician,150390,US,Annual,FederalPay.com,2023-12-01_20-43-46
Computer Operator,57925,US,Annual,FederalPay.com,2023-12-01_20-43-46
Air Conditioning Equipment Operator,65613,US,Annual,FederalPay.com,2023-12-01_20-43-46
Business and Industry Student Trainee,39671,US,Annual,FederalPay.com,2023-12-01_20-43-46
Traffic Manager,104405,US,Annual,FederalPay.com,2023-12-01_20-43-46
Machinist,75362,US,Annual,FederalPay.com,2023-12-01_20-43-46
Respiratory Therapist,59962,US,Annual,FederalPay.com,2023-12-01_20-43-46
Safety Engineer,113411,US,Annual,FederalPay.com,2023-12-01_20-43-46
Mediator,142783,US,Annual,FederalPay.com,2023-12-01_20-43-46
Hand Composer,90994,US,Annual,FederalPay.com,2023-12-01_20-43-46
Electronic Integrated Systems Mechanic,121115,US,Annual,FederalPay.com,2023-12-01_20-43-46
Intaglio Press Operator,124317,US,Annual,FederalPay.com,2023-12-01_20-43-46
Locksmith,63007,US,Annual,FederalPay.com,2023-12-01_20-43-46
Civil Rights Analyst,120628,US,Annual,FederalPay.com,2023-12-01_20-43-46
Cemetery Administration Serviceman,102709,US,Annual,FederalPay.com,2023-12-01_20-43-46
Fire Protection Engineer,135776,US,Annual,FederalPay.com,2023-12-01_20-43-46
Aircraft Mechanic,81496,US,Annual,FederalPay.com,2023-12-01_20-43-46
Agricultural Market Reporter,89871,US,Annual,FederalPay.com,2023-12-01_20-43-46
