Job_title,Hourly_salary,Annual_salary,Salary_Frequency,Location,Source,Scrape_Date
Computer and Information Analysts,53.15,"110,550",Hourly | Annual,US,BLS.gov,2023-12-01
Computer Systems Analysts,51.70,"107,530",Hourly | Annual,US,BLS.gov,2023-12-01
Information Security Analysts,57.63,"119,860",Hourly | Annual,US,BLS.gov,2023-12-01
Computer and Information Research Scientists,74.94,"155,880",Hourly | Annual,US,BLS.gov,2023-12-01
Computer Support Specialists,30.97,"64,410",Hourly | Annual,US,BLS.gov,2023-12-01
Computer Network Support Specialists,36.57,"76,060",Hourly | Annual,US,BLS.gov,2023-12-01
Computer User Support Specialists,29.61,"61,580",Hourly | Annual,US,BLS.gov,2023-12-01
Database and Network Administrators and Architects,53.08,"110,400",Hourly | Annual,US,BLS.gov,2023-12-01
Computer Network Architects,62.25,"129,490",Hourly | Annual,US,BLS.gov,2023-12-01
Database Administrators,49.29,"102,530",Hourly | Annual,US,BLS.gov,2023-12-01
Database Architects,65.65,"136,540",Hourly | Annual,US,BLS.gov,2023-12-01
Network and Computer Systems Administrators,46.71,"97,160",Hourly | Annual,US,BLS.gov,2023-12-01
"Software and Web Developers, Programmers, and Testers",60.07,"124,940",Hourly | Annual,US,BLS.gov,2023-12-01
Computer Programmers,49.42,"102,790",Hourly | Annual,US,BLS.gov,2023-12-01
Software Developers,63.91,"132,930",Hourly | Annual,US,BLS.gov,2023-12-01
Software Quality Assurance Analysts and Testers,50.84,"105,750",Hourly | Annual,US,BLS.gov,2023-12-01
Web Developers,42.11,"87,580",Hourly | Annual,US,BLS.gov,2023-12-01
Web and Digital Interface Designers,48.91,"101,740",Hourly | Annual,US,BLS.gov,2023-12-01
"Computer Occupations, All Other",50.32,"104,660",Hourly | Annual,US,BLS.gov,2023-12-01
Mathematical Science Occupations,52.22,"108,620",Hourly | Annual,US,BLS.gov,2023-12-01
Actuaries,61.34,"127,580",Hourly | Annual,US,BLS.gov,2023-12-01
Mathematicians,54.74,"113,860",Hourly | Annual,US,BLS.gov,2023-12-01
Operations Research Analysts,46.07,"95,820",Hourly | Annual,US,BLS.gov,2023-12-01
Statisticians,50.73,"105,510",Hourly | Annual,US,BLS.gov,2023-12-01
Data Scientists,55.40,"115,240",Hourly | Annual,US,BLS.gov,2023-12-01
"Mathematical Science Occupations, All Other",39.50,"82,160",Hourly | Annual,US,BLS.gov,2023-12-01
Architecture and Engineering Occupations,45.52,"94,670",Hourly | Annual,US,BLS.gov,2023-12-01
"Architects, Surveyors, and Cartographers",41.67,"86,670",Hourly | Annual,US,BLS.gov,2023-12-01
"Architects, Except Naval",45.10,"93,810",Hourly | Annual,US,BLS.gov,2023-12-01
"Architects, Except Landscape and Naval",46.40,"96,510",Hourly | Annual,US,BLS.gov,2023-12-01
Landscape Architects,37.41,"77,820",Hourly | Annual,US,BLS.gov,2023-12-01
"Surveyors, Cartographers, and Photogrammetrists",34.61,"71,980",Hourly | Annual,US,BLS.gov,2023-12-01
Cartographers and Photogrammetrists,36.20,"75,300",Hourly | Annual,US,BLS.gov,2023-12-01
Surveyors,34.16,"71,060",Hourly | Annual,US,BLS.gov,2023-12-01
Engineers,51.53,"107,170",Hourly | Annual,US,BLS.gov,2023-12-01
Aerospace Engineers,61.10,"127,090",Hourly | Annual,US,BLS.gov,2023-12-01
Agricultural Engineers,43.61,"90,710",Hourly | Annual,US,BLS.gov,2023-12-01
Bioengineers and Biomedical Engineers,51.95,"108,060",Hourly | Annual,US,BLS.gov,2023-12-01
Chemical Engineers,56.64,"117,820",Hourly | Annual,US,BLS.gov,2023-12-01
Civil Engineers,46.82,"97,380",Hourly | Annual,US,BLS.gov,2023-12-01
Computer Hardware Engineers,67.71,"140,830",Hourly | Annual,US,BLS.gov,2023-12-01
Electrical and Electronics Engineers,55.62,"115,680",Hourly | Annual,US,BLS.gov,2023-12-01
Electrical Engineers,54.83,"114,050",Hourly | Annual,US,BLS.gov,2023-12-01
"Electronics Engineers, Except Computer",56.95,"118,460",Hourly | Annual,US,BLS.gov,2023-12-01
Environmental Engineers,48.88,"101,670",Hourly | Annual,US,BLS.gov,2023-12-01
"Industrial Engineers, Including Health and Safety",47.54,"98,880",Hourly | Annual,US,BLS.gov,2023-12-01
"Health and Safety Engineers, Except Mining Safety Engineers and Inspectors",49.79,"103,570",Hourly | Annual,US,BLS.gov,2023-12-01
Industrial Engineers,47.39,"98,560",Hourly | Annual,US,BLS.gov,2023-12-01
Marine Engineers and Naval Architects,50.75,"105,560",Hourly | Annual,US,BLS.gov,2023-12-01
Materials Engineers,50.69,"105,420",Hourly | Annual,US,BLS.gov,2023-12-01
Mechanical Engineers,48.47,"100,820",Hourly | Annual,US,BLS.gov,2023-12-01
"Mining and Geological Engineers, Including Mining Safety Engineers",48.70,"101,290",Hourly | Annual,US,BLS.gov,2023-12-01
Nuclear Engineers,59.88,"124,540",Hourly | Annual,US,BLS.gov,2023-12-01
Petroleum Engineers,68.66,"142,800",Hourly | Annual,US,BLS.gov,2023-12-01
"Engineers, All Other",53.50,"111,280",Hourly | Annual,US,BLS.gov,2023-12-01
"Drafters, Engineering Technicians, and Mapping Technicians",30.95,"64,370",Hourly | Annual,US,BLS.gov,2023-12-01
Drafters,30.43,"63,300",Hourly | Annual,US,BLS.gov,2023-12-01
Architectural and Civil Drafters,29.64,"61,660",Hourly | Annual,US,BLS.gov,2023-12-01
Electrical and Electronics Drafters,33.00,"68,640",Hourly | Annual,US,BLS.gov,2023-12-01
Mechanical Drafters,31.59,"65,700",Hourly | Annual,US,BLS.gov,2023-12-01
"Drafters, All Other",29.02,"60,370",Hourly | Annual,US,BLS.gov,2023-12-01
"Engineering Technologists and Technicians, Except Drafters",32.10,"66,780",Hourly | Annual,US,BLS.gov,2023-12-01
Aerospace Engineering and Operations Technologists and Technicians,37.05,"77,060",Hourly | Annual,US,BLS.gov,2023-12-01
Civil Engineering Technologists and Technicians,29.56,"61,480",Hourly | Annual,US,BLS.gov,2023-12-01
Electrical and Electronic Engineering Technologists and Technicians,34.04,"70,810",Hourly | Annual,US,BLS.gov,2023-12-01
Electro-Mechanical and Mechatronics Technologists and Technicians,31.69,"65,920",Hourly | Annual,US,BLS.gov,2023-12-01
Environmental Engineering Technologists and Technicians,27.90,"58,020",Hourly | Annual,US,BLS.gov,2023-12-01
Industrial Engineering Technologists and Technicians,30.52,"63,470",Hourly | Annual,US,BLS.gov,2023-12-01
Mechanical Engineering Technologists and Technicians,31.02,"64,530",Hourly | Annual,US,BLS.gov,2023-12-01
Calibration Technologists and Technicians,32.31,"67,200",Hourly | Annual,US,BLS.gov,2023-12-01
"Engineering Technologists and Technicians, Except Drafters, All Other",33.92,"70,550",Hourly | Annual,US,BLS.gov,2023-12-01
Surveying and Mapping Technicians,24.79,"51,570",Hourly | Annual,US,BLS.gov,2023-12-01
"Life, Physical, and Social Science Occupations",40.21,"83,640",Hourly | Annual,US,BLS.gov,2023-12-01
Life Scientists,46.56,"96,840",Hourly | Annual,US,BLS.gov,2023-12-01
Agricultural and Food Scientists,39.06,"81,250",Hourly | Annual,US,BLS.gov,2023-12-01
Animal Scientists,41.28,"85,870",Hourly | Annual,US,BLS.gov,2023-12-01
Food Scientists and Technologists,41.22,"85,730",Hourly | Annual,US,BLS.gov,2023-12-01
Soil and Plant Scientists,36.73,"76,410",Hourly | Annual,US,BLS.gov,2023-12-01
Biological Scientists,46.38,"96,460",Hourly | Annual,US,BLS.gov,2023-12-01
Biochemists and Biophysicists,55.16,"114,740",Hourly | Annual,US,BLS.gov,2023-12-01
Microbiologists,42.77,"88,950",Hourly | Annual,US,BLS.gov,2023-12-01
Zoologists and Wildlife Biologists,34.91,"72,610",Hourly | Annual,US,BLS.gov,2023-12-01
"Biological Scientists, All Other",46.11,"95,920",Hourly | Annual,US,BLS.gov,2023-12-01
Conservation Scientists and Foresters,33.32,"69,310",Hourly | Annual,US,BLS.gov,2023-12-01
Conservation Scientists,33.56,"69,810",Hourly | Annual,US,BLS.gov,2023-12-01
Foresters,32.74,"68,090",Hourly | Annual,US,BLS.gov,2023-12-01
Medical Scientists,52.27,"108,720",Hourly | Annual,US,BLS.gov,2023-12-01
Epidemiologists,41.29,"85,880",Hourly | Annual,US,BLS.gov,2023-12-01
"Medical Scientists, Except Epidemiologists",53.21,"110,670",Hourly | Annual,US,BLS.gov,2023-12-01
"Life Scientists, All Other",48.26,"100,370",Hourly | Annual,US,BLS.gov,2023-12-01
Physical Scientists,46.91,"97,570",Hourly | Annual,US,BLS.gov,2023-12-01
Astronomers and Physicists,71.06,"147,800",Hourly | Annual,US,BLS.gov,2023-12-01
Astronomers,61.28,"127,460",Hourly | Annual,US,BLS.gov,2023-12-01
Physicists,72.18,"150,130",Hourly | Annual,US,BLS.gov,2023-12-01
Atmospheric and Space Scientists,45.01,"93,610",Hourly | Annual,US,BLS.gov,2023-12-01
Chemists and Materials Scientists,44.33,"92,210",Hourly | Annual,US,BLS.gov,2023-12-01
Chemists,43.53,"90,530",Hourly | Annual,US,BLS.gov,2023-12-01
Materials Scientists,53.22,"110,690",Hourly | Annual,US,BLS.gov,2023-12-01
Environmental Scientists and Geoscientists,42.96,"89,350",Hourly | Annual,US,BLS.gov,2023-12-01
"Environmental Scientists and Specialists, Including Health",40.30,"83,820",Hourly | Annual,US,BLS.gov,2023-12-01
"Geoscientists, Except Hydrologists and Geographers",50.27,"104,560",Hourly | Annual,US,BLS.gov,2023-12-01
Hydrologists,46.30,"96,300",Hourly | Annual,US,BLS.gov,2023-12-01
"Physical Scientists, All Other",55.88,"116,230",Hourly | Annual,US,BLS.gov,2023-12-01
Social Scientists and Related Workers,45.46,"94,560",Hourly | Annual,US,BLS.gov,2023-12-01
Economists,61.63,"128,180",Hourly | Annual,US,BLS.gov,2023-12-01
Survey Researchers,31.94,"66,440",Hourly | Annual,US,BLS.gov,2023-12-01
Psychologists,46.25,"96,190",Hourly | Annual,US,BLS.gov,2023-12-01
Industrial-Organizational Psychologists,69.52,"144,610",Hourly | Annual,US,BLS.gov,2023-12-01
Clinical and Counseling Psychologists,49.40,"102,740",Hourly | Annual,US,BLS.gov,2023-12-01
School Psychologists,42.09,"87,550",Hourly | Annual,US,BLS.gov,2023-12-01
"Psychologists, All Other",47.87,"99,560",Hourly | Annual,US,BLS.gov,2023-12-01
Sociologists,48.71,"101,310",Hourly | Annual,US,BLS.gov,2023-12-01
Urban and Regional Planners,39.63,"82,420",Hourly | Annual,US,BLS.gov,2023-12-01
Miscellaneous Social Scientists and Related Workers,44.61,"92,800",Hourly | Annual,US,BLS.gov,2023-12-01
Anthropologists and Archeologists,32.84,"68,310",Hourly | Annual,US,BLS.gov,2023-12-01
Geographers,42.77,"88,960",Hourly | Annual,US,BLS.gov,2023-12-01
Historians,35.05,"72,900",Hourly | Annual,US,BLS.gov,2023-12-01
Political Scientists,60.64,"126,140",Hourly | Annual,US,BLS.gov,2023-12-01
"Social Scientists and Related Workers, All Other",45.46,"94,560",Hourly | Annual,US,BLS.gov,2023-12-01
"Life, Physical, and Social Science Technicians",26.88,"55,900",Hourly | Annual,US,BLS.gov,2023-12-01
Agricultural and Food Science Technicians,23.37,"48,610",Hourly | Annual,US,BLS.gov,2023-12-01
Agricultural Technicians,21.94,"45,640",Hourly | Annual,US,BLS.gov,2023-12-01
Food Science Technicians,24.68,"51,320",Hourly | Annual,US,BLS.gov,2023-12-01
Biological Technicians,25.75,"53,560",Hourly | Annual,US,BLS.gov,2023-12-01
Chemical Technicians,27.01,"56,180",Hourly | Annual,US,BLS.gov,2023-12-01
Environmental Science and Geoscience Technicians,26.99,"56,140",Hourly | Annual,US,BLS.gov,2023-12-01
"Environmental Science and Protection Technicians, Including Health",25.95,"53,970",Hourly | Annual,US,BLS.gov,2023-12-01
"Geological Technicians, Except Hydrologic Technicians",29.24,"60,810",Hourly | Annual,US,BLS.gov,2023-12-01
Hydrologic Technicians,32.04,"66,640",Hourly | Annual,US,BLS.gov,2023-12-01
Nuclear Technicians,46.65,"97,040",Hourly | Annual,US,BLS.gov,2023-12-01
Social Science Research Assistants,27.77,"57,760",Hourly | Annual,US,BLS.gov,2023-12-01
Forest and Conservation Technicians,21.64,"45,000",Hourly | Annual,US,BLS.gov,2023-12-01
"Miscellaneous Life, Physical, and Social Science Technicians",28.88,"60,070",Hourly | Annual,US,BLS.gov,2023-12-01
Forensic Science Technicians,33.30,"69,260",Hourly | Annual,US,BLS.gov,2023-12-01
"Life, Physical, and Social Science Technicians, All Other",27.78,"57,790",Hourly | Annual,US,BLS.gov,2023-12-01
Occupational Health and Safety Specialists and Technicians,37.86,"78,750",Hourly | Annual,US,BLS.gov,2023-12-01
Occupational Health and Safety Specialists,39.47,"82,110",Hourly | Annual,US,BLS.gov,2023-12-01
Occupational Health and Safety Technicians,30.40,"63,230",Hourly | Annual,US,BLS.gov,2023-12-01
Community and Social Service Occupations,26.81,"55,760",Hourly | Annual,US,BLS.gov,2023-12-01
"Counselors, Social Workers, and Other Community and Social Service Specialists",26.76,"55,660",Hourly | Annual,US,BLS.gov,2023-12-01
Counselors,28.08,"58,400",Hourly | Annual,US,BLS.gov,2023-12-01
"Educational, Guidance, and Career Counselors and Advisors",30.87,"64,200",Hourly | Annual,US,BLS.gov,2023-12-01
Marriage and Family Therapists,30.44,"63,300",Hourly | Annual,US,BLS.gov,2023-12-01
Rehabilitation Counselors,22.13,"46,020",Hourly | Annual,US,BLS.gov,2023-12-01
"Substance Abuse, Behavioral Disorder, and Mental Health Counselors",27.03,"56,230",Hourly | Annual,US,BLS.gov,2023-12-01
"Counselors, All Other",23.93,"49,770",Hourly | Annual,US,BLS.gov,2023-12-01
Social Workers,28.58,"59,440",Hourly | Annual,US,BLS.gov,2023-12-01
"Child, Family, and School Social Workers",27.25,"56,680",Hourly | Annual,US,BLS.gov,2023-12-01
Healthcare Social Workers,30.17,"62,760",Hourly | Annual,US,BLS.gov,2023-12-01
Mental Health and Substance Abuse Social Workers,28.91,"60,130",Hourly | Annual,US,BLS.gov,2023-12-01
"Social Workers, All Other",30.94,"64,360",Hourly | Annual,US,BLS.gov,2023-12-01
Miscellaneous Community and Social Service Specialists,23.40,"48,680",Hourly | Annual,US,BLS.gov,2023-12-01
Health Education Specialists,32.07,"66,710",Hourly | Annual,US,BLS.gov,2023-12-01
Probation Officers and Correctional Treatment Specialists,31.21,"64,920",Hourly | Annual,US,BLS.gov,2023-12-01
Social and Human Service Assistants,20.00,"41,600",Hourly | Annual,US,BLS.gov,2023-12-01
Community Health Workers,23.99,"49,900",Hourly | Annual,US,BLS.gov,2023-12-01
"Community and Social Service Specialists, All Other",24.82,"51,620",Hourly | Annual,US,BLS.gov,2023-12-01
Religious Workers,28.11,"58,480",Hourly | Annual,US,BLS.gov,2023-12-01
Clergy,28.93,"60,180",Hourly | Annual,US,BLS.gov,2023-12-01
"Directors, Religious Activities and Education",29.11,"60,540",Hourly | Annual,US,BLS.gov,2023-12-01
"Religious Workers, All Other",21.84,"45,420",Hourly | Annual,US,BLS.gov,2023-12-01
Legal Occupations,59.87,"124,540",Hourly | Annual,US,BLS.gov,2023-12-01
"Lawyers, Judges, and Related Workers",76.78,"159,710",Hourly | Annual,US,BLS.gov,2023-12-01
Lawyers and Judicial Law Clerks,77.73,"161,680",Hourly | Annual,US,BLS.gov,2023-12-01
Lawyers,78.74,"163,770",Hourly | Annual,US,BLS.gov,2023-12-01
Judicial Law Clerks,31.88,"66,310",Hourly | Annual,US,BLS.gov,2023-12-01
"Judges, Magistrates, and Other Judicial Workers",62.68,"130,380",Hourly | Annual,US,BLS.gov,2023-12-01
"Administrative Law Judges, Adjudicators, and Hearing Officers",46.75,"97,250",Hourly | Annual,US,BLS.gov,2023-12-01
"Arbitrators, Mediators, and Conciliators",47.56,"98,920",Hourly | Annual,US,BLS.gov,2023-12-01
"Judges, Magistrate Judges, and Magistrates",73.90,"153,700",Hourly | Annual,US,BLS.gov,2023-12-01
Legal Support Workers,30.60,"63,640",Hourly | Annual,US,BLS.gov,2023-12-01
Paralegals and Legal Assistants,30.21,"62,840",Hourly | Annual,US,BLS.gov,2023-12-01
Miscellaneous Legal Support Workers,31.92,"66,390",Hourly | Annual,US,BLS.gov,2023-12-01
"Title Examiners, Abstractors, and Searchers",27.42,"57,030",Hourly | Annual,US,BLS.gov,2023-12-01
"Legal Support Workers, All Other",37.11,"77,200",Hourly | Annual,US,BLS.gov,2023-12-01
Educational Instruction and Library Occupations,30.41,"63,240",Hourly | Annual,US,BLS.gov,2023-12-01
Postsecondary Teachers,(4),"96,130",Hourly | Annual,US,BLS.gov,2023-12-01
"Business Teachers, Postsecondary",(4),"108,060",Hourly | Annual,US,BLS.gov,2023-12-01
"Math and Computer Science Teachers, Postsecondary",(4),"93,690",Hourly | Annual,US,BLS.gov,2023-12-01
"Computer Science Teachers, Postsecondary",(4),"98,610",Hourly | Annual,US,BLS.gov,2023-12-01
"Mathematical Science Teachers, Postsecondary",(4),"90,110",Hourly | Annual,US,BLS.gov,2023-12-01
"Engineering and Architecture Teachers, Postsecondary",(4),"112,940",Hourly | Annual,US,BLS.gov,2023-12-01
"Architecture Teachers, Postsecondary",(4),"104,370",Hourly | Annual,US,BLS.gov,2023-12-01
"Engineering Teachers, Postsecondary",(4),"114,470",Hourly | Annual,US,BLS.gov,2023-12-01
"Life Sciences Teachers, Postsecondary",(4),"97,650",Hourly | Annual,US,BLS.gov,2023-12-01
"Agricultural Sciences Teachers, Postsecondary",(4),"96,650",Hourly | Annual,US,BLS.gov,2023-12-01
"Biological Science Teachers, Postsecondary",(4),"97,800",Hourly | Annual,US,BLS.gov,2023-12-01
"Forestry and Conservation Science Teachers, Postsecondary",(4),"98,160",Hourly | Annual,US,BLS.gov,2023-12-01
"Physical Sciences Teachers, Postsecondary",(4),"98,880",Hourly | Annual,US,BLS.gov,2023-12-01
"Atmospheric, Earth, Marine, and Space Sciences Teachers, Postsecondary",(4),"107,540",Hourly | Annual,US,BLS.gov,2023-12-01
"Chemistry Teachers, Postsecondary",(4),"95,250",Hourly | Annual,US,BLS.gov,2023-12-01
"Environmental Science Teachers, Postsecondary",(4),"91,450",Hourly | Annual,US,BLS.gov,2023-12-01
"Physics Teachers, Postsecondary",(4),"100,810",Hourly | Annual,US,BLS.gov,2023-12-01
"Social Sciences Teachers, Postsecondary",(4),"94,480",Hourly | Annual,US,BLS.gov,2023-12-01
"Anthropology and Archeology Teachers, Postsecondary",(4),"98,940",Hourly | Annual,US,BLS.gov,2023-12-01
"Area, Ethnic, and Cultural Studies Teachers, Postsecondary",(4),"92,980",Hourly | Annual,US,BLS.gov,2023-12-01
"Economics Teachers, Postsecondary",(4),"122,750",Hourly | Annual,US,BLS.gov,2023-12-01
"Geography Teachers, Postsecondary",(4),"87,880",Hourly | Annual,US,BLS.gov,2023-12-01
"Political Science Teachers, Postsecondary",(4),"98,420",Hourly | Annual,US,BLS.gov,2023-12-01
"Psychology Teachers, Postsecondary",(4),"88,470",Hourly | Annual,US,BLS.gov,2023-12-01
"Sociology Teachers, Postsecondary",(4),"90,200",Hourly | Annual,US,BLS.gov,2023-12-01
