Index,Salary,Salary_Type,Location,Website,Scrape Date
Nuclear Medicine Technologist,45.00 - 50.00 Per hour ,Hourly,"Dallas, TX",Glassdoor,2023-11-30
Podiatrist,73T - 2L ,Annually,"Dallas, TX",Glassdoor,2023-11-30
CT TECH/X-Ray-Radiology,45.00 - 50.00 Per hour ,Hourly,"Denton, TX",Glassdoor,2023-11-30
"LEAD CT Technologist, Full Time",46.00 - 48.00 Per hour ,Hourly,"Colleyville, TX",Glassdoor,2023-11-30
Podiatrist,2L ,Annually,Dallas-Fort Worth,Glassdoor,2023-11-30
Program Therapist WEEKENDS,25.00 - 32.00 Per hour ,Hourly,"Tioga, TX",Glassdoor,2023-11-30
Fire Sprinkler Designer,60T - 80T ,Annually,"Waxahachie, TX",Glassdoor,2023-11-30
Radiologic Technologist,54T - 71T ,Annually,Dallas-Fort Worth,Glassdoor,2023-11-30
Vascular Ultrasound Sonographer,40.00 - 51.00 Per hour ,Hourly,"Hurst, TX",Glassdoor,2023-11-30
!!Shine Behavioral is Hiring BCBAs!!,70T - 85T ,Annually,Dallas-Fort Worth,Glassdoor,2023-11-30
HVAC Drafter,28.00 - 43.00 Per hour ,Hourly,"Fort Worth, TX",Glassdoor,2023-11-30
Mental Health Therapist,30.00 Per hour ,Hourly,"Hurst, TX",Glassdoor,2023-11-30
Real Estate/Civil Litigation Partner,2L ,Annually,"Plano, TX",Glassdoor,2023-11-30
CT TECH/X-Ray-Radiology,45.00 - 50.00 Per hour ,Hourly,"Fort Worth, TX",Glassdoor,2023-11-30
Dental Hygienist,48.00 - 52.00 Per hour ,Hourly,"Dallas, TX",Glassdoor,2023-11-30
Attending Psychiatrist,2L - 3L ,Annually,"Grapevine, TX",Glassdoor,2023-11-30
Physical Therapist Assistant for Home health care,55.00 Per hour ,Hourly,"Mesquite, TX",Glassdoor,2023-11-30
Certified Medical Dosimetrist (CMD),1L ,Annually,"Dallas, TX",Glassdoor,2023-11-30
Board Certified Behavior Analyst (BCBA) / BCABA,50T - 90T ,Annually,"Dallas, TX",Glassdoor,2023-11-30
Looking for Outpatient PTA Position with an Outstanding Work Environment?,32.00 - 40.00 Per hour ,Hourly,"Fort Worth, TX",Glassdoor,2023-11-30
Outpatient anesthesiologist,200.00 - 250.00 Per hour ,Hourly,"Plano, TX",Glassdoor,2023-11-30
Podiatrist,1L - 2L ,Annually,"Arlington, TX",Glassdoor,2023-11-30
CT/X-Ray Technologist - PRN Day & Night,31.00 Per hour ,Hourly,Dallas-Fort Worth,Glassdoor,2023-11-30
Wanted: Creative Barbers/Stylists for Bazooka Charlie's Barber Co.-ROANOKE,15.00 - 45.00 Per hour ,Hourly,"Roanoke, TX",Glassdoor,2023-11-30
RDH,45.00 - 55.00 Per hour ,Hourly,"Frisco, TX",Glassdoor,2023-11-30
Register Dental Assistant,16.00 Per hour ,Hourly,"Bartonville, TX",Glassdoor,2023-11-30
Math Teacher - Now Interviewing!,22T - 25T ,Annually,"Poetry, TX",Glassdoor,2023-11-30
Experienced Mechanic,22.00 - 28.00 Per hour ,Hourly,"Rhome, TX",Glassdoor,2023-11-30
Tax Manager,88T - 1L ,Annually,"Dallas, TX",Glassdoor,2023-11-30
Dental Hygienist,44.73 - 53.87 Per hour ,Hourly,"Addison, TX",Glassdoor,2023-11-30
Journeyman Electrician,26.00 - 35.00 Per hour ,Hourly,"Wylie, TX",Glassdoor,2023-11-30
Physical Therapist Assistant,43.00 Per hour ,Hourly,"Garland, TX",Glassdoor,2023-11-30
Radiology Technician Lead,25.41 - 34.94 Per hour ,Hourly,"Denton, TX",Glassdoor,2023-11-30
Board Certified Assistant Behavior Analyst (BCaBA),60T - 82T ,Annually,"Dallas, TX",Glassdoor,2023-11-30
Speech Language Pathologist,50.00 Per hour ,Hourly,"Irving, TX",Glassdoor,2023-11-30
Radiologic Technologist,26.00 - 32.00 Per hour ,Hourly,Dallas-Fort Worth,Glassdoor,2023-11-30
Prosthodontist,2L - 3L ,Annually,Dallas-Fort Worth,Glassdoor,2023-11-30
BCBA - Clinic Director,90T - 1L ,Annually,"Sherman, TX",Glassdoor,2023-11-30
Licensed Physical Therapy Assistant,56T - 83T ,Annually,"Arlington, TX",Glassdoor,2023-11-30
Psychologist,62T - 1L ,Annually,Dallas-Fort Worth,Glassdoor,2023-11-30
Senior Accountant,65T - 90T ,Annually,"Cleburne, TX",Glassdoor,2023-11-30
Family Practice Physician,140.00 - 150.00 Per hour ,Hourly,"Dallas, TX",Glassdoor,2023-11-30
"LPC, LMFT, LCSW Texas (Contract)",60.00 Per hour ,Hourly,"Arlington, TX",Glassdoor,2023-11-30
Physician Assistant,1L ,Annually,"McKinney, TX",Glassdoor,2023-11-30
Senior Maintenance Technician,46T - 66T ,Annually,"Sherman, TX",Glassdoor,2023-11-30
Psychologist,1L ,Annually,"Dallas, TX",Glassdoor,2023-11-30
Physician- PRN,140.00 Per hour ,Hourly,"Addison, TX",Glassdoor,2023-11-30
Speech Language Pathologist,50.00 - 75.00 Per hour ,Hourly,Dallas-Fort Worth,Glassdoor,2023-11-30
Experienced Tax Preparer,60T ,Annually,"Dallas, TX",Glassdoor,2023-11-30
Landscape/Irrigation Estimator (Commercial),40T - 55T ,Annually,"Granbury, TX",Glassdoor,2023-11-30
Physical Therapist Assistant,55.00 Per hour ,Hourly,Dallas-Fort Worth,Glassdoor,2023-11-30
Psychologist,50T - 90T ,Annually,"Coppell, TX",Glassdoor,2023-11-30
Tax Manager,85T - 1L ,Annually,"Fort Worth, TX",Glassdoor,2023-11-30
Dr. of Chiropractic,60T ,Annually,"Celina, TX",Glassdoor,2023-11-30
Behavior Consultant (BCBA) 50% In-person-50% remote,50.00 - 60.00 Per hour ,Hourly,"Arlington, TX",Glassdoor,2023-11-30
Staff Accountant,45T - 70T ,Annually,"Cleburne, TX",Glassdoor,2023-11-30
Senior Geotechnical Engineer,1L - 2L ,Annually,"Dallas, TX",Glassdoor,2023-11-30
Speech Language Pathologist,60.00 - 70.00 Per hour ,Hourly,"Colleyville, TX",Glassdoor,2023-11-30
Clinical Therapist,56T ,Annually,"Sherman, TX",Glassdoor,2023-11-30
Radiology Technologist,40.00 - 45.00 Per hour ,Hourly,"Dallas, TX",Glassdoor,2023-11-30
Dental Hygienist (Part-time),45.00 - 50.00 Per hour ,Hourly,"Carrollton, TX",Glassdoor,2023-11-30
Clinical Psychologist,65.00 - 78.00 Per hour ,Hourly,"Dallas, TX",Glassdoor,2023-11-30
Speech Language Pathologist,80T - 1L ,Annually,Dallas-Fort Worth,Glassdoor,2023-11-30
Physical Therapist,65.00 Per hour ,Hourly,"Irving, TX",Glassdoor,2023-11-30
Dental Hygienist,50.00 - 53.00 Per hour ,Hourly,"Plano, TX",Glassdoor,2023-11-30
Family Law Attorney Needed,90T ,Annually,"Richardson, TX",Glassdoor,2023-11-30
Radiation Therapist,55.00 Per hour ,Hourly,"Fort Worth, TX",Glassdoor,2023-11-30
Tax Accountant,50T - 80T ,Annually,"Terrell, TX",Glassdoor,2023-11-30
Piano and Cello Teachers,40.00 Per hour ,Hourly,"Southlake, TX",Glassdoor,2023-11-30
VIRTUAL Charter/School Speech Pathologist *Las Vegas Local Comp. 23/24,55.00 - 65.00 Per hour ,Hourly,"Dallas, TX",Glassdoor,2023-11-30
"Speech-Language Pathologist, Part-time",45.00 - 55.00 Per hour ,Hourly,Dallas-Fort Worth,Glassdoor,2023-11-30
Certified Personal Trainer,20.00 Per hour ,Hourly,"Rockwall, TX",Glassdoor,2023-11-30
"Speech-Language Pathologist, Clinical Fellow",45.00 Per hour ,Hourly,"Irving, TX",Glassdoor,2023-11-30
Dental Hygienist RDH,40.00 - 50.00 Per hour ,Hourly,"McKinney, TX",Glassdoor,2023-11-30
Certified Pharmacy Technician,13.00 - 18.00 Per hour ,Hourly,"Whitesboro, TX",Glassdoor,2023-11-30
Internal Medicine Physician,2L ,Annually,"Dallas, TX",Glassdoor,2023-11-30
Dental Hygienist,45.00 - 50.00 Per hour ,Hourly,"Fort Worth, TX",Glassdoor,2023-11-30
Electrical Journeyman,28.00 Per hour ,Hourly,"McKinney, TX",Glassdoor,2023-11-30
CT Technologist Travel,52T - 74T ,Annually,"Dallas, TX",Glassdoor,2023-11-30
Registered Behavioral Technician (RBT),17.00 - 22.00 Per hour ,Hourly,"Celina, TX",Glassdoor,2023-11-30
Home Health Certified Occupational Therapist Assistant,70T - 90T ,Annually,"Grand Prairie, TX",Glassdoor,2023-11-30
Speech Language Pathology Therapist,65.00 Per hour ,Hourly,Dallas-Fort Worth,Glassdoor,2023-11-30
"Litigation Associate Attorney (Austin, TX)",1L - 3L ,Annually,Dallas-Fort Worth,Glassdoor,2023-11-30
Hair Stylist,25.00 - 30.00 Per hour ,Hourly,"Fort Worth, TX",Glassdoor,2023-11-30
Physician,2L ,Annually,"Rowlett, TX",Glassdoor,2023-11-30
X-Ray OR Radiologic Technician / $15k Sign-on,24.00 Per hour ,Hourly,"Frisco, TX",Glassdoor,2023-11-30
Social Worker - Hospice,46T - 67T ,Annually,"Sherman, TX",Glassdoor,2023-11-30
Licensed Real Estate Agent - 100% commission - NO monthly fees!,2L ,Annually,"Carrollton, TX",Glassdoor,2023-11-30
Audiologist,80T - 1L ,Annually,"Southlake, TX",Glassdoor,2023-11-30
Maintenance Technician,23.00 - 28.00 Per hour ,Hourly,"Van Alstyne, TX",Glassdoor,2023-11-30
RPLS,85T - 2L ,Annually,"Fort Worth, TX",Glassdoor,2023-11-30
Speech Language Pathologist,55T - 75T ,Annually,Dallas-Fort Worth,Glassdoor,2023-11-30
PRN Therapist,30.00 - 50.00 Per hour ,Hourly,"Fort Worth, TX",Glassdoor,2023-11-30
Radiology Technician,35.00 - 40.00 Per hour ,Hourly,"Fort Worth, TX",Glassdoor,2023-11-30
Director of Discipleship - Full Time,50T ,Annually,"Southlake, TX",Glassdoor,2023-11-30
Certified Pharmacy Technician,13.00 - 16.00 Per hour ,Hourly,"Glen Rose, TX",Glassdoor,2023-11-30
Remote BCBA Position Open with Shine Behavioral!,40.00 - 55.00 Per hour ,Hourly,"Arlington, TX",Glassdoor,2023-11-30
Physical Therapist Assistant,73T - 77T ,Annually,"Dallas, TX",Glassdoor,2023-11-30
Speech Language Pathologist,60.00 - 70.00 Per hour ,Hourly,"Dallas, TX",Glassdoor,2023-11-30
Manager Medical Surgical with Great Pay Package,76T - 1L ,Annually,"Fort Worth, TX",Glassdoor,2023-11-30
"Nurse Practitioner, Entry Level Welcome",50.00 Per hour ,Hourly,"Tom Bean, TX",Glassdoor,2023-11-30
Mobile Dog Groomer,75T - 2L ,Annually,"Dallas, TX",Glassdoor,2023-11-30
Psychologist,8T - 14T ,Annually,"McKinney, TX",Glassdoor,2023-11-30
"Licensed Counselor (LMFT, LPC) for Christian Counseling",30.00 - 60.00 Per hour ,Hourly,"Keller, TX",Glassdoor,2023-11-30
Sexual Assault Nurse Examiner (SANE) Contractor,30.00 - 100.00 Per hour ,Hourly,"Sherman, TX",Glassdoor,2023-11-30
PARAMEDIC,25.00 Per hour ,Hourly,"Duncanville, TX",Glassdoor,2023-11-30
Massage Therapist,20.00 - 22.00 Per hour ,Hourly,"McKinney, TX",Glassdoor,2023-11-30
General Pediatrician,2L ,Annually,"McKinney, TX",Glassdoor,2023-11-30
Veterinary Technician,15.00 - 20.00 Per hour ,Hourly,"Waxahachie, TX",Glassdoor,2023-11-30
Immigration Attorney,62T - 91T ,Annually,"Dallas, TX",Glassdoor,2023-11-30
Energetic Family Law Attorney - Join Our Winning Team,1L - 2L ,Annually,"Plano, TX",Glassdoor,2023-11-30
"Superb Associate Veterinarian Job in Dallas, Texas USA",1L - 2L ,Annually,"Dallas, TX",Glassdoor,2023-11-30
Veterinarian,1L ,Annually,Dallas-Fort Worth,Glassdoor,2023-11-30
Civil Engineering Technician and/or Senior Engineering Technician,90T ,Annually,"Fort Worth, TX",Glassdoor,2023-11-30
Dental Hygienist,45.00 - 52.00 Per hour ,Hourly,"Frisco, TX",Glassdoor,2023-11-30
Physical Therapist,43.00 - 48.00 Per hour ,Hourly,"Dallas, TX",Glassdoor,2023-11-30
Child and Adolescent Therapist,40.00 - 110.00 Per hour ,Hourly,"Plano, TX",Glassdoor,2023-11-30
Bi-Lingual LCSW/LPC/LMFT,62T - 70T ,Annually,"Seagoville, TX",Glassdoor,2023-11-30
"Veterinarian - Clinical Director role in Watauga, Texas USA",1L - 2L ,Annually,"Watauga, TX",Glassdoor,2023-11-30
Clinical Psychologist-Independent veteran evaluations,125.00 - 210.00 Per hour ,Hourly,"Fort Worth, TX",Glassdoor,2023-11-30
Legal Director,2L ,Annually,"Richardson, TX",Glassdoor,2023-11-30
Dental Hygienist,46.00 - 50.00 Per hour ,Hourly,"Little Elm, TX",Glassdoor,2023-11-30
Speech Therapist,35.00 - 50.00 Per hour ,Hourly,"Princeton, TX",Glassdoor,2023-11-30
Physical Therapist Assistant,33.00 - 36.00 Per hour ,Hourly,"McKinney, TX",Glassdoor,2023-11-30
Project Manager,45T - 1L ,Annually,"Kaufman, TX",Glassdoor,2023-11-30
"Licensed Psychologist ($10,000 Sign-On Bonus)",1L ,Annually,"Irving, TX",Glassdoor,2023-11-30
Dental Hygienist,48.00 - 52.00 Per hour ,Hourly,"Rowlett, TX",Glassdoor,2023-11-30
Speech Language Pathologist,75T - 1L ,Annually,"Dallas, TX",Glassdoor,2023-11-30
Brand new opportunity for Vestibular Physical Therapist,35.00 - 40.00 Per hour ,Hourly,"Irving, TX",Glassdoor,2023-11-30
Certified Occupational Therapy Assistant,30.00 - 35.00 Per hour ,Hourly,"Rockwall, TX",Glassdoor,2023-11-30
RDH Hygienist(part time 2 days including Fridays) pay $47-50/hr,47.00 - 50.00 Per hour ,Hourly,"Frisco, TX",Glassdoor,2023-11-30
Board Certified Behavior Analyst (BCBA),80T - 85T ,Annually,"Fort Worth, TX",Glassdoor,2023-11-30
Licensed Professional Counselor,45.00 Per hour ,Hourly,"Azle, TX",Glassdoor,2023-11-30
Dental Hygienist,47.00 Per hour ,Hourly,"Fort Worth, TX",Glassdoor,2023-11-30
Associate Optometrist,1L ,Annually,"Fort Worth, TX",Glassdoor,2023-11-30
Occupational Therapist,50.00 - 70.00 Per hour ,Hourly,Dallas-Fort Worth,Glassdoor,2023-11-30
Diesel Technician/Mechanic,16.00 - 30.00 Per hour ,Hourly,"Decatur, TX",Glassdoor,2023-11-30
Dental Hygienist,44.00 - 50.00 Per hour ,Hourly,"Aubrey, TX",Glassdoor,2023-11-30
Veterinarian - Hospitalist,1L ,Annually,"Dallas, TX",Glassdoor,2023-11-30
Physical Therapist,65.00 - 75.00 Per hour ,Hourly,Dallas-Fort Worth,Glassdoor,2023-11-30
Physical Therapist,65.00 Per hour ,Hourly,Dallas-Fort Worth,Glassdoor,2023-11-30
Registered Dental Hygienist,45.00 - 55.00 Per hour ,Hourly,"Flower Mound, TX",Glassdoor,2023-11-30
Physical Therapist,60.00 - 70.00 Per hour ,Hourly,"Dallas, TX",Glassdoor,2023-11-30
Physician Assistant-Certified,1L ,Annually,"Dallas, TX",Glassdoor,2023-11-30
Licensed Pharmacy Technician,16.00 - 20.00 Per hour ,Hourly,"Whitesboro, TX",Glassdoor,2023-11-30
Physical Therapy Assistant,32.00 - 38.00 Per hour ,Hourly,"Celina, TX",Glassdoor,2023-11-30
Occupational Therapist,60.00 - 75.00 Per hour ,Hourly,Dallas-Fort Worth,Glassdoor,2023-11-30
Licensed Occupational Therapist,60.00 - 65.00 Per hour ,Hourly,Dallas-Fort Worth,Glassdoor,2023-11-30
Family Physician,2L ,Annually,"Fort Worth, TX",Glassdoor,2023-11-30
Senior Tax Accountant - Full or Part-Time,75T - 1L ,Annually,"Dallas, TX",Glassdoor,2023-11-30
Commercial Journeyman Electrician - Lead,28.00 - 35.00 Per hour ,Hourly,"Argyle, TX",Glassdoor,2023-11-30
Licensed Professional Counselor (LPC),25.00 - 35.00 Per hour ,Hourly,"Dallas, TX",Glassdoor,2023-11-30
Occupational Therapist,60.00 Per hour ,Hourly,"Grand Prairie, TX",Glassdoor,2023-11-30
Physical Therapist,50.00 - 75.00 Per hour ,Hourly,Dallas-Fort Worth,Glassdoor,2023-11-30
Dental Hygienist,44.00 - 50.00 Per hour ,Hourly,"Fort Worth, TX",Glassdoor,2023-11-30
Home Health Speech Language Pathologist,80T - 1L ,Annually,Dallas-Fort Worth,Glassdoor,2023-11-30
Civil Litigation Attorney (7+ Years'),1L - 2L ,Annually,"Richardson, TX",Glassdoor,2023-11-30
HVAC Service Technician,30.00 Per hour ,Hourly,"Sanger, TX",Glassdoor,2023-11-30
Medical Doctor-Dallas Area-Start date of Feb/March 2024,2L ,Annually,Dallas-Fort Worth,Glassdoor,2023-11-30
Occupational Therapist,60.00 - 70.00 Per hour ,Hourly,Dallas-Fort Worth,Glassdoor,2023-11-30
Associate Veterinarian,1L ,Annually,"Dallas, TX",Glassdoor,2023-11-30
Registered Dental Assistant (RDA),20.00 Per hour ,Hourly,"Denton, TX",Glassdoor,2023-11-30
Corporate Tax Manager,80T - 1L ,Annually,"Lewisville, TX",Glassdoor,2023-11-30
Litigation Attorney,2L ,Annually,"Fort Worth, TX",Glassdoor,2023-11-30
Associate Attorney,70T - 90T ,Annually,"Granbury, TX",Glassdoor,2023-11-30
Attorney,60T - 85T ,Annually,"Carrollton, TX",Glassdoor,2023-11-30
Family Law Attorney,80T - 1L ,Annually,"Plano, TX",Glassdoor,2023-11-30
Dental Hygienist,50.00 - 55.00 Per hour ,Hourly,"Plano, TX",Glassdoor,2023-11-30
Dental Hygienist,43.00 - 50.00 Per hour ,Hourly,"Allen, TX",Glassdoor,2023-11-30
Labor and Delivery RN-Full Time,34.00 - 54.00 Per hour ,Hourly,"Arlington, TX",Glassdoor,2023-11-30
Physician Assistant-Certified,1L ,Annually,"Fort Worth, TX",Glassdoor,2023-11-30
Physical Therapist,45.00 - 48.00 Per hour ,Hourly,"Duncanville, TX",Glassdoor,2023-11-30
Physical Therapist PRN,45.00 - 55.00 Per hour ,Hourly,"Irving, TX",Glassdoor,2023-11-30
Speech Language Pathologist,40.00 - 50.00 Per hour ,Hourly,"Corsicana, TX",Glassdoor,2023-11-30
Speech Language Pathologist,65.00 - 90.00 Per hour ,Hourly,"Kaufman, TX",Glassdoor,2023-11-30
Litigation Attorney,80T - 1L ,Annually,"Dallas, TX",Glassdoor,2023-11-30
Managing Optometrist,1L - 2L ,Annually,"Fort Worth, TX",Glassdoor,2023-11-30
"Board Certified Behavior Analyst (BCBA) - Fort Worth, TX, Alliance Clinic",70T ,Annually,"Keller, TX",Glassdoor,2023-11-30
Pediatrician,2L ,Annually,"Fort Worth, TX",Glassdoor,2023-11-30
Hair Stylist,14.00 - 15.00 Per hour ,Hourly,"Denton, TX",Glassdoor,2023-11-30
Registered Dietitian Nutritionist - RDN,37.00 - 39.00 Per hour ,Hourly,"Mesquite, TX",Glassdoor,2023-11-30
Associate Veterinarian,1L - 2L ,Annually,"McKinney, TX",Glassdoor,2023-11-30
FOREMAN for COMMERCIAL Plumbing - Lic. Journeyman,35.00 Per hour ,Hourly,"Dallas, TX",Glassdoor,2023-11-30
CPA firm seeking Tax Senior,80T ,Annually,"Fort Worth, TX",Glassdoor,2023-11-30
"Fully Licensed Child and Adolescent Therapist, LPC, LCSW, LMFT",45.00 Per hour ,Hourly,"Garland, TX",Glassdoor,2023-11-30
Licensed Plumber,20.00 - 30.00 Per hour ,Hourly,"Midlothian, TX",Glassdoor,2023-11-30
General Dentist,12T - 20T ,Annually,"Weatherford, TX",Glassdoor,2023-11-30
Associate Veterinarian - Private Practice,1L - 2L ,Annually,"Krum, TX",Glassdoor,2023-11-30
Board Certified Behavior Analyst (BCBA),60T - 85T ,Annually,"Wylie, TX",Glassdoor,2023-11-30
Registered Dental Hygienist,50.00 - 60.00 Per hour ,Hourly,"Pantego, TX",Glassdoor,2023-11-30
Hair Stylist,14.00 - 15.00 Per hour ,Hourly,"Highland Village, TX",Glassdoor,2023-11-30
Part-time Dental Hygienist,36.00 - 50.00 Per hour ,Hourly,"Melissa, TX",Glassdoor,2023-11-30
Licensed Physical Therapist Assistant (PTA),35.00 - 37.00 Per hour ,Hourly,"Hillsboro, TX",Glassdoor,2023-11-30
Physical Therapist,85T - 1L ,Annually,"Dallas, TX",Glassdoor,2023-11-30
Optometrist,1L ,Annually,"Fort Worth, TX",Glassdoor,2023-11-30
Lead Chef,12.00 - 25.00 Per hour ,Hourly,"Azle, TX",Glassdoor,2023-11-30
Cosmetologist/Hair Stylist,35T - 65T ,Annually,"Granbury, TX",Glassdoor,2023-11-30
Registered Dental Assistant (RDA),16.00 - 25.00 Per hour ,Hourly,"Corsicana, TX",Glassdoor,2023-11-30
Licensed Psychologist,96T - 1L ,Annually,"Plano, TX",Glassdoor,2023-11-30
Academic outpatient Physician,2L ,Annually,"Fort Worth, TX",Glassdoor,2023-11-30
Registered Dental Hygienist,43.00 - 55.00 Per hour ,Hourly,"Flower Mound, TX",Glassdoor,2023-11-30
Nurse Sonographer or R.D.M.S.,25.00 Per hour ,Hourly,"Fort Worth, TX",Glassdoor,2023-11-30
Associate Veterinarian - Part Time or Full Time,52T - 1L ,Annually,"Brock, TX",Glassdoor,2023-11-30
Water Aerobics Instructor ($35/hr),35.00 Per hour ,Hourly,"Plano, TX",Glassdoor,2023-11-30
Registered Dental Hygienist (RDH),50.00 Per hour ,Hourly,"Denton, TX",Glassdoor,2023-11-30
Physical Therapist,86T - 90T ,Annually,"Carrollton, TX",Glassdoor,2023-11-30
Board Certified Behavior Analyst (BCBA/BCaBA),70T - 82T ,Annually,United States,Glassdoor,2023-11-30
Speech-Language Pathologist - SY 23-24,37.00 - 55.00 Per hour ,Hourly,"Southlake, TX",Glassdoor,2023-11-30
Personal Injury Attorney,90T - 1L ,Annually,"Garland, TX",Glassdoor,2023-11-30
Detox / Recovery Nurse (7a-7p) Thursday - Saturday (w/rotating Wed),28.00 - 38.00 Per hour ,Hourly,"Van Alstyne, TX",Glassdoor,2023-11-30
Licensed Psychologist,1L - 2L ,Annually,"Allen, TX",Glassdoor,2023-11-30
Speech Language Pathologist - Pediatric Outpatient Clinic,70T - 85T ,Annually,"Richardson, TX",Glassdoor,2023-11-30
Licensed Psychological Associate,45.00 - 100.00 Per hour ,Hourly,"Allen, TX",Glassdoor,2023-11-30
Registered Dental Hygienist,45.00 - 48.00 Per hour ,Hourly,,Glassdoor,2023-11-30
"Associate Attorney, Litigation",1L ,Annually,"Fort Worth, TX",Glassdoor,2023-11-30
Full Time Therapist,67T - 90T ,Annually,"Allen, TX",Glassdoor,2023-11-30
Journeyman Electrician,34.00 - 37.00 Per hour ,Hourly,"Frisco, TX",Glassdoor,2023-11-30
Physical Therapist,50.00 - 55.00 Per hour ,Hourly,"Fort Worth, TX",Glassdoor,2023-11-30
Veterinarian,1L ,Annually,"Anna, TX",Glassdoor,2023-11-30
Physical Therapist Assistant,43.00 Per hour ,Hourly,"Mesquite, TX",Glassdoor,2023-11-30
"Board Certified Behavior Analyst (BCBA), Relocate to OKC (assistance avail)",90T - 1L ,Annually,"Dallas, TX",Glassdoor,2023-11-30
Associate Veterinarian,1L - 2L ,Annually,"Cedar Hill, TX",Glassdoor,2023-11-30
"Licensed Professional Counselor (LPC, LCSW, LMFT) - Addison",65T - 1L ,Annually,"Addison, TX",Glassdoor,2023-11-30
Private Piano Teacher,30.00 - 35.00 Per hour ,Hourly,"Fort Worth, TX",Glassdoor,2023-11-30
Licensed Clinical Social Worker and Clinical Psychologist,30.00 - 90.00 Per hour ,Hourly,"Dallas, TX",Glassdoor,2023-11-30
Med/Surg RN-Full Time,30.00 - 46.00 Per hour ,Hourly,"Lewisville, TX",Glassdoor,2023-11-30
Associate Veterinarian,1L - 2L ,Annually,"Fort Worth, TX",Glassdoor,2023-11-30
PCU RN-Full Time,29.44 - 42.95 Per hour ,Hourly,"Dallas, TX",Glassdoor,2023-11-30
Litigation Associate Attorney,70T - 1L ,Annually,"Sherman, TX",Glassdoor,2023-11-30
Senior Tax Accountant,80T ,Annually,"Weatherford, TX",Glassdoor,2023-11-30
Dialysis Charge Nurse,45.00 - 48.00 Per hour ,Hourly,"Greenville, TX",Glassdoor,2023-11-30
"Full Time Dentist in Greensboro, NC",3L ,Annually,"Dallas, TX",Glassdoor,2023-11-30
Occupational Therapist,50.00 - 70.00 Per hour ,Hourly,"Flower Mound, TX",Glassdoor,2023-11-30
"Nurse Practitioner, min 1 year of previous experience",50.00 - 60.00 Per hour ,Hourly,"Burleson, TX",Glassdoor,2023-11-30
Speech Language Pathologist - Frisco Clinic (FT),60T ,Annually,"Frisco, TX",Glassdoor,2023-11-30
Physical Therapist,42.00 - 75.00 Per hour ,Hourly,"Dallas, TX",Glassdoor,2023-11-30
Physical Therapist PRN,46.00 - 52.00 Per hour ,Hourly,"Grapevine, TX",Glassdoor,2023-11-30
Pediatric Speech Language Pathologist (CCC or CFY),67T - 72T ,Annually,"Dallas, TX",Glassdoor,2023-11-30
Dentist - Endodontist,50T - 1L ,Annually,"Dallas, TX",Glassdoor,2023-11-30
Physical Therapist,81T - 88T ,Annually,"Dallas, TX",Glassdoor,2023-11-30
Veterinarian - Medical Director,2L ,Annually,"Cedar Hill, TX",Glassdoor,2023-11-30
